"","0","","","1","","","Total","",""
"","mean","variance","count","mean","variance","count","mean","variance","count"
"remesas_pre_avg","12.030","898.155","2,296","198.645","65,135.086","27","14.199","2,017.283","2,323"
"log_remesas_pre_avg","1.260","2.076","2,296","4.632","1.544","27","1.299","2.200","2,323"
"viv_emig_00","6.475","47.929","2,296","3.377","6.444","27","6.439","47.554","2,323"
"viv_emig_10","3.914","17.352","2,296","1.244","0.906","27","3.883","17.242","2,323"
"im_2000","0.037","0.951","2,295","-1.406","0.394","27","0.020","0.968","2,322"
"im_2010","0.036","0.950","2,296","-1.386","0.305","27","0.019","0.966","2,323"
"log_poblacion_2010","9.347","2.305","2,296","12.952","1.552","27","9.389","2.445","2,323"
"log_densidad","3.928","2.753","2,296","6.248","3.698","27","3.955","2.824","2,323"
"pea_pct","47.736","73.086","2,296","56.753","5.041","27","47.841","73.227","2,323"
