inegi,share_spanish_born
07048,0.6211180124223602
09001,0.5268000505150733
17029,0.4761904761904762
28029,0.46728971962616817
30167,0.3883495145631068
30100,0.3731343283582089
30125,0.3389830508474576
22011,0.3246753246753247
21114,0.3137254901960784
30186,0.31201248049922
10018,0.30864197530864196
12066,0.303951367781155
17007,0.3018867924528302
11015,0.29806259314456035
08034,0.2958579881656805
30044,0.29239766081871343
28036,0.28137310073157007
05035,0.26595744680851063
08018,0.2347417840375587
30038,0.23201856148491878
07078,0.21413276231263384
09002,0.19165247018739354
30115,0.19011406844106463
16049,0.186219739292365
25012,0.1768867924528302
30086,0.16233766233766234
07089,0.16194331983805668
11011,0.15772870662460567
25006,0.13127666557269443
09006,0.1182033096926714
24028,0.08972633467922835
02004,0.07797270955165692
02002,0.07129277566539924
12001,0.06997900629811056
26018,0.05827505827505827
11020,0.04728132387706856
14039,0.045009564532463145
31050,0.03673769287288758
19039,0.02249718785151856
